,a2i,vowels,binary
0,ator,2,0000000000000000000000000000000000000000001100001111010011011111110010
1,mjolsness,2,0000000110110111010101101111110110011100111101110110010111100111110011
2,lse,1,0000000000000000000000000000000000000000000000000110110011100111100101
3,arc,1,0000000000000000000000000000000000000000000000000110000111100101100011
4,modelled,3,0000000000000011011011101111110010011001011101100110110011001011100100
5,crucially,3,0000000110001111100101110101110001111010011100001110110011011001111001
6,lateral,3,0000000000000000000001101100110000111101001100101111001011000011101100
7,wavelength,3,1110111110000111101101100101110110011001011101110110011111101001101000
9,ignoring,3,0000000000000011010011100111110111011011111110010110100111011101100111
10,twn,0,0000000000000000000000000000000000000000000000000111010011101111101110
11,damasio,4,0000000000000000000001100100110000111011011100001111001111010011101111
12,holler,2,0000000000000000000000000000110100011011111101100110110011001011110010
13,change,2,0000000000000000000000000000110001111010001100001110111011001111100101
14,negativity,4,1101110110010111001111100001111010011010011110110110100111101001111001
15,gin,1,0000000000000000000000000000000000000000000000000110011111010011101110
16,tedious,4,0000000000000000000001110100110010111001001101001110111111101011110011
17,suppose,3,0000000000000000000001110011111010111100001110000110111111100111100101
18,vital,2,0000000000000000000000000000000000011101101101001111010011000011101100
19,juang,2,0000000000000000000000000000000000011010101110101110000111011101100111
20,pronounce,4,0000000111000011100101101111110111011011111110101110111011000111100101
21,fall,1,0000000000000000000000000000000000000000001100110110000111011001101100
22,sharkey,2,0000000000000000000001110011110100011000011110010110101111001011111001
23,called,2,0000000000000000000000000000110001111000011101100110110011001011100100
25,history,2,0000000000000000000001101000110100111100111110100110111111100101111001
26,axis,2,0000000000000000000000000000000000000000001100001111100011010011110011
27,cov,1,0000000000000000000000000000000000000000000000000110001111011111110110
28,huang,2,0000000000000000000000000000000000011010001110101110000111011101100111
29,psy,0,0000000000000000000000000000000000000000000000000111000011100111111001
30,cfi,1,0000000000000000000000000000000000000000000000000110001111001101101001
31,blasdel,2,0000000000000000000001100010110110011000011110011110010011001011101100
32,otto,2,0000000000000000000000000000000000000000001101111111010011101001101111
33,famous,3,0000000000000000000000000000110011011000011101101110111111101011110011
34,proach,2,0000000000000000000000000000111000011100101101111110000111000111101000
36,ther,1,0000000000000000000000000000000000000000001110100110100011001011110010
37,voronoi,4,0000000000000000000001110110110111111100101101111110111011011111101001
38,patterned,3,0000000111000011000011110100111010011001011110010110111011001011100100
39,small,1,0000000000000000000000000000000000011100111101101110000111011001101100
40,official,4,0000000000000011011111100110110011011010011100011110100111000011101100
41,rep,1,0000000000000000000000000000000000000000000000000111001011001011110000
42,guyon,2,0000000000000000000000000000000000011001111110101111100111011111101110
43,remedy,2,0000000000000000000000000000111001011001011101101110010111001001111001
44,bayliss,2,0000000000000000000001100010110000111110011101100110100111100111110011
45,simulates,4,0000000111001111010011101101111010111011001100001111010011001011110011
